"otuids"	"ERR2210880"	"ERR2210890"	"ERR2210900"	"ERR2210980"	"ERR2210990"	"ERR2211000"	"ERR2211010"	"ERR2211020"	"ERR2211030"	"ERR2211060"	"ERR2211120"	"ERR2211180"	"ERR2211270"	"ERR2211280"	"ERR2211360"	"ERR2210881"	"ERR2210891"	"ERR2210901"	"ERR2210991"	"ERR2211001"	"ERR2211011"	"ERR2211021"	"ERR2211031"	"ERR2211041"	"ERR2211061"	"ERR2211081"	"ERR2211101"	"ERR2211181"	"ERR2211611"	"ERR2211631"	"ERR2210882"	"ERR2210892"	"ERR2210902"	"ERR2210992"	"ERR2211022"	"ERR2211032"	"ERR2211052"	"ERR2211062"	"ERR2211082"	"ERR2211092"	"ERR2211102"	"ERR2211272"	"ERR2211422"	"ERR2211532"	"ERR2210883"	"ERR2210893"	"ERR2210903"	"ERR2210983"	"ERR2211033"	"ERR2211063"	"ERR2211073"	"ERR2211083"	"ERR2211093"	"ERR2211103"	"ERR2211113"	"ERR2211183"	"ERR2211203"	"ERR2211623"	"ERR2211703"	"ERR2211713"	"ERR2211733"	"ERR2210894"	"ERR2210984"	"ERR2210994"	"ERR2211064"	"ERR2211074"	"ERR2211094"	"ERR2211104"	"ERR2211114"	"ERR2211244"	"ERR2211264"	"ERR2211274"	"ERR2211354"	"ERR2210895"	"ERR2210905"	"ERR2210985"	"ERR2210995"	"ERR2211005"	"ERR2211075"	"ERR2211085"	"ERR2211095"	"ERR2211105"	"ERR2211195"	"ERR2211245"	"ERR2211255"	"ERR2211265"	"ERR2211275"	"ERR2211345"	"ERR2211365"	"ERR2210896"	"ERR2210916"	"ERR2210986"	"ERR2210996"	"ERR2211026"	"ERR2211076"	"ERR2211086"	"ERR2211096"	"ERR2211106"	"ERR2211116"	"ERR2211186"	"ERR2211206"	"ERR2211256"	"ERR2211276"	"ERR2211516"	"ERR2211556"	"ERR2210877"	"ERR2210887"	"ERR2210897"	"ERR2210917"	"ERR2210977"	"ERR2210987"	"ERR2210997"	"ERR2211017"	"ERR2211027"	"ERR2211077"	"ERR2211087"	"ERR2211097"	"ERR2211107"	"ERR2211117"	"ERR2211177"	"ERR2211197"	"ERR2211267"	"ERR2211277"	"ERR2211337"	"ERR2210878"	"ERR2210898"	"ERR2210908"	"ERR2210918"	"ERR2210978"	"ERR2210998"	"ERR2211008"	"ERR2211018"	"ERR2211088"	"ERR2211118"	"ERR2211178"	"ERR2211248"	"ERR2211268"	"ERR2211278"	"ERR2210879"	"ERR2210889"	"ERR2210899"	"ERR2210919"	"ERR2210979"	"ERR2210989"	"ERR2210999"	"ERR2211009"	"ERR2211019"	"ERR2211029"	"ERR2211079"	"ERR2211119"	"ERR2211179"	"ERR2211189"	"ERR2211209"	"ERR2211269"	"ERR2211409"
"217700"	241	49	318	254	547	361	781	187	223	936	219	132	375	167	0	186	193	282	469	780	246	466	451	213	135	84	109	56	0	0	192	422	221	788	704	581	737	90	82	14	37	453	0	0	204	185	150	385	818	871	97	227	170	44	69	63	130	0	0	0	0	156	409	365	222	103	86	140	62	102	272	268	0	171	217	280	515	369	64	130	246	181	129	103	86	106	410	0	0	186	198	143	547	222	47	131	86	325	105	70	119	126	303	0	0	341	243	89	244	296	516	441	458	175	41	181	128	57	125	72	131	293	376	0	346	76	248	138	224	533	755	564	228	206	95	101	372	296	361	274	251	229	147	352	375	299	503	118	61	186	87	163	96	256	0
"221349"	212	152	799	471	483	610	752	262	190	577	887	211	357	307	0	251	461	1318	345	985	306	351	189	212	104	337	206	47	0	0	182	410	812	541	377	275	421	72	162	62	142	198	0	0	241	716	287	453	668	518	339	360	392	140	441	29	211	0	0	0	0	369	373	263	289	371	186	360	433	234	348	196	0	258	436	483	919	588	343	222	265	359	43	108	132	231	289	0	0	263	247	341	1272	143	165	426	54	734	890	163	214	184	230	0	0	265	159	130	254	756	941	1649	330	135	79	401	234	163	648	85	760	381	506	0	317	120	351	189	722	968	791	536	416	699	305	166	210	156	240	246	716	243	433	491	481	325	557	60	162	646	158	88	252	235	0
"3609950"	1791	844	4618	2421	3637	2375	5486	1698	1802	6459	2515	1579	4112	2246	0	1781	2723	5000	2883	5000	2194	3218	3172	1819	1142	1575	757	884	0	0	1545	1982	3797	5417	4989	5003	4678	653	669	178	557	3977	0	0	1919	3072	1923	3088	7553	6373	920	1463	1362	405	936	1094	1282	0	0	0	0	1900	3305	2580	3524	1683	723	1502	1070	1943	2243	2684	0	1840	2579	2287	4177	2825	1008	920	1135	1115	1186	1574	1259	2592	3820	0	0	1984	2828	1315	4233	1834	625	2392	367	2755	1628	1449	2013	2136	2821	0	0	2462	1541	1293	2641	3596	4529	3504	3546	1276	443	1710	1074	560	1465	1253	1507	2430	4289	0	2566	757	3674	1632	2668	4306	5673	4569	1830	1723	1122	3417	2535	3464	2409	1622	4750	3181	1528	2517	2616	2147	4300	1129	688	1315	940	1305	1355	2357	0
"4339351"	4144	1390	5320	1132	1002	1099	2143	767	727	1550	3675	391	1441	1090	0	3805	4492	6988	612	2018	849	1320	884	382	806	791	985	631	0	0	3063	2899	5546	1300	1743	728	1807	290	315	499	1310	1285	0	0	3917	3087	7320	599	2084	2187	738	686	2489	913	5059	213	1097	0	0	0	0	3632	802	537	640	959	1046	2871	2950	821	940	566	0	2903	4161	266	889	1090	511	482	4285	2147	555	953	1050	1635	1657	0	0	3689	5889	296	1958	481	366	2524	1136	4373	3910	116	992	745	898	0	0	4712	2650	1771	5164	439	571	790	870	298	264	1059	2713	993	2334	450	1306	1078	2439	0	4767	1250	6711	3689	462	963	3747	1356	1604	3538	1356	393	860	1339	5464	3700	5371	6700	331	463	2677	1859	2466	174	544	2333	369	198	1360	1630	0
"646549"	9074	3321	14573	9127	8987	7234	19571	3934	3857	7333	19887	4101	5367	5393	0	12230	9879	18415	6091	13241	7576	9066	2311	9677	1956	8372	9168	3226	0	0	9910	9965	14476	12348	5870	4674	8621	953	3499	2262	7064	5654	0	0	12064	8902	6866	9907	8437	6415	9299	12886	18383	5750	6791	1144	4255	0	0	0	0	11745	8682	7282	3669	9912	8428	15341	11570	4186	5614	4591	0	8148	9782	5321	12813	13505	5600	6513	14001	11814	2037	2436	2923	4485	5549	0	0	10228	12487	3760	15295	1650	3995	23036	5649	22407	18169	1345	3862	3370	3589	0	0	18420	8024	18777	12109	7341	12432	12207	5405	1691	3299	10243	14412	6423	12688	2333	3454	9488	6214	0	11729	3377	14746	8610	7272	13669	14839	8862	12723	19564	10147	3646	4947	4009	12585	10207	13833	14204	8253	10031	7100	9062	9058	783	4851	12274	3974	1601	3721	5329	0
"585878"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"537655"	19	17	84	41	28	23	75	17	11	24	49	16	53	49	0	36	47	165	29	54	27	16	10	12	9	27	12	5	0	0	17	35	130	50	37	16	27	5	8	2	0	68	0	0	19	62	43	52	54	31	10	22	17	3	26	5	18	0	0	0	0	28	32	27	9	19	3	30	37	45	32	42	0	31	119	25	61	46	17	6	14	16	17	37	59	88	67	0	0	38	27	22	95	10	6	29	2	38	37	36	16	70	64	0	0	41	13	28	36	50	84	53	25	7	2	18	12	4	28	28	38	56	77	0	39	15	40	34	59	65	62	29	23	60	36	53	22	42	22	24	119	42	44	40	42	22	27	3	10	33	20	23	12	42	0
"4469039"	1162	1150	3597	1656	2983	1939	5537	1544	1445	5773	6533	436	2006	1585	0	1411	1535	11207	2157	4465	1774	3054	3719	1673	2991	2618	1892	302	0	0	1267	1355	2702	5328	4566	5107	4571	811	818	433	4066	3296	0	0	1554	1425	2094	2071	8627	6335	1746	3067	4862	826	2398	504	539	0	0	0	0	1952	2628	2434	2006	2031	1093	2584	2123	674	1124	942	0	1969	2688	1790	2741	1909	1324	1751	2299	2393	448	554	342	1030	1709	0	0	3337	1318	934	2989	2217	705	2179	1339	5782	4061	834	1076	847	1277	0	0	1748	1832	654	1900	2185	3130	9252	2615	1609	730	3653	1863	1404	4574	344	1819	958	1367	0	1700	835	1860	837	1584	3351	4876	3820	4406	3915	289	739	1212	1577	1912	1602	2721	1388	985	2089	2213	1784	3587	1015	1439	4599	234	414	679	1267	0
"112867"	5610	2182	14088	5299	8664	4762	14299	6592	6332	23450	6857	4363	5016	4258	0	5368	8319	16490	6343	11624	10109	13565	11442	7312	3334	2473	1729	2631	0	0	5266	5552	14366	11705	19670	23344	21440	2209	973	390	843	6891	0	0	5281	7537	6125	6127	32002	39618	2016	2766	2207	927	1944	4593	2298	0	0	0	0	6840	7074	6448	12360	2378	1095	2124	1707	3484	2881	3993	0	5583	8121	6747	8972	6395	1684	2092	1459	1665	3017	3747	2710	5721	6204	0	0	6085	10154	2634	9813	8501	879	2321	1912	4521	4445	4207	3255	4671	5050	0	0	8558	4180	5079	9184	8371	11185	8450	14099	6097	647	3501	1399	7198	4135	4116	3717	3138	7420	0	16818	2537	12899	4938	5983	11355	14788	18740	3679	3586	1891	6384	3417	4889	8178	4230	13682	14903	3255	7103	5517	4099	14599	4494	1185	2999	2275	7979	2175	2762	0
"1081222"	2293	658	1594	585	423	383	1037	376	274	921	1335	221	1105	712	0	1856	2665	3005	238	693	341	537	395	411	237	885	786	87	0	0	1228	1311	2120	653	684	745	957	131	335	179	519	1485	0	0	1314	1797	1280	440	1177	879	768	805	1041	383	301	126	458	0	0	0	0	1442	573	424	294	995	640	1573	418	835	1257	503	0	1273	1417	400	610	602	599	574	681	764	175	591	388	1207	663	0	0	1625	4095	245	950	318	356	1039	209	1371	896	631	328	718	540	0	0	3107	946	1316	5451	580	979	766	672	222	220	1087	702	351	1096	447	439	1405	821	0	3033	660	5124	2141	526	932	1110	952	900	1040	392	771	737	610	2503	1450	2209	5476	308	529	406	282	785	156	392	404	129	945	400	851	0
