"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"556561"	"Archaea"	"Crenarchaeota"	NA	NA	NA	NA	NA
"3609950"	"Bacteria"	"Acidobacteria"	NA	NA	NA	NA	NA
"368218"	"Bacteria"	"Actinobacteria"	NA	NA	NA	NA	NA
"217700"	"Bacteria"	"Armatimonadetes"	NA	NA	NA	NA	NA
"4339351"	"Bacteria"	"Bacteroidetes"	NA	NA	NA	NA	NA
"256569"	"Bacteria"	"Chlorobi"	NA	NA	NA	NA	NA
"112867"	"Bacteria"	"Chloroflexi"	NA	NA	NA	NA	NA
"357721"	"Bacteria"	"Elusimicrobia"	NA	NA	NA	NA	NA
"1081489"	"Bacteria"	"Fibrobacteres"	NA	NA	NA	NA	NA
"1081222"	"Bacteria"	"Firmicutes"	NA	NA	NA	NA	NA
"221349"	"Bacteria"	"Gemmatimonadetes"	NA	NA	NA	NA	NA
"537655"	"Bacteria"	"Nitrospirae"	NA	NA	NA	NA	NA
"4469039"	"Bacteria"	"Planctomycetes"	NA	NA	NA	NA	NA
"646549"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"226240"	"Bacteria"	"Verrucomicrobia"	NA	NA	NA	NA	NA
"585878"	"Archaea"	"Candidatus_Diapherotrites"	NA	NA	NA	NA	NA
