	sequentialTaxaID
4479944	w001
513055	w002
519510	w003
810959	w004
849092	w005
1042671	w006
818174	w007
585221	w008
1033380	w009
875704	w010
112952	w011
760955	w012
683649	w013
4337833	w014
146122	w015
590601	w016
588630	w017
255750	w018
541155	w019
736463	w020
761601	w021
529067	w022
107036	w023
570086	w024
1000876	w025
1132235	w026
740154	w027
943138	w028
544711	w029
4346961	w030
912372	w031
1019914	w032
811187	w033
540592	w034
939101	w035
1038987	w036
107428	w037
811435	w038
775560	w039
743788	w040
589500	w041
578951	w042
206278	w043
214676	w044
244063	w045
4402900	w046
221791	w047
1107738	w048
1897510	w049
691349	w050
735782	w051
255838	w052
878663	w053
215003	w054
254007	w055
731014	w056
1106796	w057
552989	w058
206609	w059
813418	w060
828667	w061
217700	w062
576136	w063
534301	w064
535892	w065
852722	w066
807260	w067
849156	w068
207403	w069
963779	w070
540510	w071
4297391	w072
565604	w073
864507	w074
547608	w075
780555	w076
541299	w077
1105280	w078
586388	w079
4477117	w080
808319	w081
3468909	w082
221349	w083
816291	w084
331647	w085
4434837	w086
876066	w087
976441	w088
573135	w089
247867	w090
1107011	w091
959372	w092
810882	w093
906820	w094
1068902	w095
854930	w096
205244	w097
944435	w098
822806	w099
17991	w100
250148	w101
878714	w102
562332	w103
3609950	w104
4339351	w105
664216	w106
1028953	w107
1053775	w108
4320381	w109
968121	w110
1105814	w111
987899	w112
535678	w113
1118109	w114
946179	w115
313833	w116
358590	w117
249571	w118
1106748	w119
4476891	w120
541511	w121
1106324	w122
150877	w123
1115404	w124
811449	w125
350446	w126
788268	w127
1110303	w128
591683	w129
254949	w130
216748	w131
222900	w132
984175	w133
610753	w134
672471	w135
893232	w136
1107128	w137
791738	w138
551895	w139
578508	w140
370301	w141
173004	w142
754410	w143
1059762	w144
1144575	w145
1080447	w146
3276016	w147
141365	w148
2259380	w149
994823	w150
865520	w151
538315	w152
102024	w153
676066	w154
559780	w155
249773	w156
209233	w157
1071316	w158
709971	w159
356083	w160
879040	w161
210344	w162
4350559	w163
1069213	w164
624858	w165
4369011	w166
654742	w167
367995	w168
833645	w169
800292	w170
217929	w171
592301	w172
922761	w173
810700	w174
1111883	w175
814282	w176
588861	w177
225453	w178
993474	w179
969805	w180
662808	w181
920852	w182
223441	w183
4358255	w184
812809	w185
513073	w186
1024056	w187
564004	w188
223764	w189
552186	w190
208595	w191
587313	w192
850135	w193
510204	w194
48487	w195
284171	w196
940828	w197
1096572	w198
142247	w199
358664	w200
575688	w201
580625	w202
1116937	w203
1104437	w204
918840	w205
929699	w206
562922	w207
591340	w208
828127	w209
1104733	w210
207082	w211
20428	w212
512148	w213
545548	w214
562604	w215
279206	w216
646549	w217
4379833	w218
810167	w219
3319380	w220
225894	w221
1107346	w222
1042519	w223
547148	w224
541741	w225
854050	w226
1093690	w227
358785	w228
820086	w229
4321627	w230
261663	w231
223126	w232
808919	w233
591157	w234
693971	w235
940737	w236
103869	w237
410072	w238
545247	w239
