%"otuids"	"Rank1"	"Rank2"	"Rank3"	"Rank4"	"Rank5"	"Rank6"	"Rank7"
"4479944"	"Bacteria"	"Actinobacteria"	"MB-A2-108"	"0319-7L14"	""	""	""
"513055"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	"Steroidobacter"	""
"519510"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	""	""	""
"810959"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Intrasporangiaceae"	"Knoellia"	""
"849092"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	""	""
"1042671"	"Bacteria"	"Bacteroidetes"	"Saprospirae"	"Saprospirales"	"Chitinophagaceae"	""	""
"818174"	"Bacteria"	"Bacteroidetes"	"Saprospirae"	"Saprospirales"	"Saprospiraceae"	""	""
"585221"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	""	""
"1033380"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	""	""
"875704"	"Bacteria"	"Bacteroidetes"	"Saprospirae"	"Saprospirales"	"Chitinophagaceae"	""	""
"112952"	"Bacteria"	"Chloroflexi"	"Ellin6529"	""	""	""	""
"760955"	"Bacteria"	"Acidobacteria"	"Acidobacteria-6"	"CCU21"	""	""	""
"683649"	"Bacteria"	"Acidobacteria"	"Chloracidobacteria"	"RB41"	""	""	""
"4337833"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"A17"	""
"146122"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	""	""	""
"590601"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	""	""
"588630"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	""	""	""
"255750"	"Bacteria"	"Actinobacteria"	"Rubrobacteria"	"Rubrobacterales"	"Rubrobacteraceae"	""	""
"541155"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Sinobacteraceae"	""	""
"736463"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"Candidatus Solibacter"	""
