	RSE	RRSE
4479944	5.372935	2.3179593
513055	23.722898	4.870616
519510	1.089639	1.0438577
810959	16.449377	4.0557833
849092	8.721827	2.9532738
1042671	33.90574	5.8228636
818174	3.4610293	1.8603842
585221	704.916	26.550255
1033380	629.2278	25.084414
875704	2.8497164	1.6881104
112952	6.857268	2.6186385
760955	143.28716	11.970262
683649	0.95325917	0.97634995
4337833	3.141181	1.7723377
146122	1.5100515	1.2288415
590601	18.731638	4.3280063
588630	1.9096107	1.3818867
255750	190.91432	13.817175
541155	2.2952635	1.5150127
736463	331.2374	18.199928
761601	1.0861633	1.0421916
529067	8.806794	2.9676244
107036	42.84401	6.5455337
570086	15.946847	3.9933503
1000876	1.740392	1.3192391
1132235	12.18422	3.4905903
740154	4.99378	2.2346768
943138	8.499086	2.9153192
544711	13.109517	3.6207068
4346961	8.195519	2.8627818
912372	29.334637	5.416146
1019914	4.1835175	2.0453649
811187	1.3769585	1.1734388
540592	1.0582007	1.0286888
939101	7.691944	2.7734354
1038987	4.5809464	2.1403146
107428	3.6221244	1.903188
811435	1.0567287	1.027973
775560	6.7703605	2.6019917
743788	15.03664	3.8777106
589500	7.793918	2.791759
578951	1.2737516	1.1286061
206278	1.2733941	1.1284477
214676	8.484659	2.912844
244063	1.4453143	1.2022122
4402900	4.719044	2.172336
221791	11.411478	3.378088
1107738	0.9757368	0.9877939
1897510	16.515945	4.0639815
691349	11.601912	3.406158
735782	17.277927	4.1566725
255838	5.0150404	2.2394285
878663	24.406237	4.940267
215003	17.467308	4.179391
254007	23.322607	4.8293486
731014	3.5927289	1.8954495
1106796	3.6132133	1.9008454
552989	0.58760333	0.76655287
206609	6.0886836	2.4675257
813418	13.957318	3.7359495
828667	9.597617	3.0980022
217700	8.414292	2.90074
576136	1.222662	1.1057404
534301	2.3526735	1.5338427
535892	269.7215	16.4232
852722	18.733444	4.328215
807260	2.1824555	1.4773136
849156	18.987226	4.3574333
207403	1.4406729	1.2002803
963779	34.4353	5.86816
540510	25.293486	5.029263
4297391	143.07558	11.96142
565604	9.29874	3.0493836
864507	248.06435	15.750058
547608	11.958207	3.458064
780555	31.357054	5.599737
541299	5.832789	2.4151168
1105280	21.175821	4.6017194
586388	16.783272	4.0967393
4477117	4.446455	2.108662
808319	458.3359	21.408781
3468909	11.516457	3.3935905
221349	7.298842	2.7016368
816291	0.6345927	0.7966133
331647	5.263904	2.2943199
4434837	39.184563	6.2597575
876066	0.8819571	0.9391257
976441	33.70555	5.8056483
573135	15.0689745	3.8818777
247867	4.7043867	2.1689599
1107011	357.78067	18.91509
959372	2.1820135	1.477164
810882	2.1086426	1.4521166
906820	12.809569	3.5790458
1068902	16.591242	4.073235
854930	3.0229342	1.7386588
205244	151.86664	12.323419
944435	6.0222774	2.454033
822806	20.565887	4.5349627
17991	91.1292	9.546162
250148	634.1878	25.183086
878714	480.24875	21.91458
562332	4.638503	2.1537185
3609950	3.3407018	1.8277587
4339351	2.3678608	1.5387855
664216	14.382103	3.7923744
1028953	546.7359	23.382385
1053775	24.960154	4.9960136
4320381	113.86755	10.670874
968121	526.1144	22.937183
1105814	10.523263	3.243958
987899	2.5828152	1.607114
535678	3.2459092	1.8016407
1118109	422.7836	20.561703
946179	1.8671002	1.3664187
313833	5.0908422	2.2562895
358590	5.193067	2.2788303
249571	13.505223	3.6749454
1106748	1.8329084	1.3538495
4476891	27.096672	5.2054462
541511	3.228942	1.7969257
1106324	197.285	14.045818
150877	12.462009	3.530157
1115404	2.4018748	1.5497983
811449	3.0390384	1.7432837
350446	305.29788	17.472775
788268	179.17859	13.38576
1110303	0.96046925	0.9800353
591683	1.6783428	1.2955087
254949	0.73967695	0.8600447
216748	3.648594	1.9101293
222900	3.2542214	1.803946
984175	4.1788945	2.0442345
610753	19.215712	4.383573
672471	1.3614038	1.1667922
893232	2.75776	1.6606505
1107128	14.435659	3.799429
791738	1.962675	1.4009551
551895	8.469779	2.9102886
578508	12.874158	3.5880578
370301	2.037282	1.4273338
173004	19.771055	4.4464655
754410	17.02704	4.1263833
1059762	3.932806	1.9831303
1144575	19.071733	4.36712
