	new00	new01	new02	new03	new04	new05	new06	new07	new08	new09	new10	new11	new12	new13	new14	new15	new16	new17	new18	new19	new20	new21	new22	new23	new24	new25	new26	new27	new28	new29	new30	new31	new32	new33	new34	new35	new36	new37	new38	new39	new40	new41	new42	new43	new44	new45	new46	new47
4479944	0.0008192451	0.001683967	0.0006519336	0.0005042039	0.00024236331	0.00050346635	0.00067614747	0.0016843907	0.00064809376	0.00066889275	0.0016760459	0.000642778	0.0006478985	0.0012315785	0.000638132	0.0006010212	0.00047741365	0.0006307584	0.00048275845	0.00039715425	0.00061997044	0.00046668536	0.00031893302	0.00062169216	0.0007660579	0.00030765764	0.00070812023	0.00048807813	0.0002488372	0.0005687871	0.000472535	0.0003070194	0.0005135407	0.00035013177	0.00032802427	0.000501517	0.00033898797	0.00029276995	0.0004937579	0.00032174075	0.0003310166	0.0004890933	0.00028620716	0.00032785864	0.00047944966	0.00023591964	0.00028353732	0.00039967964
513055	2.2922302e-06	5.2994787e-05	1.9772333e-06	6.183868e-07	1.0103225e-06	6.693102e-07	2.029676e-06	5.254267e-05	1.9634194e-06	2.0205491e-06	4.8453338e-05	1.941685e-06	1.961141e-06	3.548469e-06	1.9180397e-06	1.7283908e-06	1.2400675e-06	1.8707191e-06	1.286155e-06	1.1369493e-06	1.8131733e-06	1.4520814e-06	1.1685343e-06	2.1833093e-06	8.08443e-07	1.2425704e-06	2.206663e-06	7.1357954e-07	1.0392644e-06	7.176523e-07	7.258445e-07	1.3690496e-06	5.901475e-07	8.052838e-07	1.1907008e-06	5.74413e-07	8.521794e-07	1.492434e-06	5.728557e-07	8.897672e-07	2.4572614e-06	5.7110714e-07	9.678736e-07	1.613144e-06	5.6420043e-07	1.1640406e-06	1.0457094e-06	5.230042e-07
519510	0.0023369947	0.010590741	0.0023077708	0.0008224347	0.0007936275	0.0010430205	0.0023126183	0.010533685	0.0023047435	0.0023131415	0.010154992	0.00229932	0.0023027267	0.0021502557	0.002292186	0.0022113572	0.0018118795	0.0022756655	0.001942644	0.0018084003	0.002258129	0.0019659754	0.0017004272	0.0025137025	0.0013382514	0.0016793514	0.0025410384	0.001115611	0.00083917595	0.0010527064	0.0009531411	0.0010313502	0.0008947507	0.001204434	0.000830336	0.0009802207	0.0012240137	0.0005964262	0.0009963398	0.0012502203	0.0005020799	0.0009985757	0.0012275162	0.0005272246	0.0009882164	0.0011811877	0.0007526387	0.0007589109
810959	1.665288e-05	6.5802546e-05	1.0423436e-05	8.8577335e-06	3.3609076e-06	7.3763317e-06	1.1246159e-05	6.556244e-05	1.0275099e-05	1.1021797e-05	6.447679e-05	1.0060517e-05	1.02657505e-05	5.764463e-05	9.857205e-06	8.389044e-06	5.2903565e-06	9.492276e-06	5.147776e-06	4.2030015e-06	8.827095e-06	4.5647757e-06	4.386358e-06	9.615525e-06	5.041785e-06	4.5296506e-06	7.9160545e-06	6.9404696e-06	3.483443e-06	7.802782e-06	8.862393e-06	5.153747e-06	8.343581e-06	6.78954e-06	6.1065734e-06	7.1479726e-06	6.6002062e-06	1.00566085e-05	6.89049e-06	6.210827e-06	1.5140721e-05	6.753334e-06	5.551946e-06	1.23666305e-05	6.486625e-06	4.3189384e-06	8.227683e-06	4.942827e-06
849092	0.00195617	6.512412e-05	0.00304881	0.002493308	0.0057304376	0.002217833	0.002829519	6.5812324e-05	0.0030976385	0.0028794522	7.219609e-05	0.0031731543	0.0031009857	0.00064197637	0.0032524222	0.0039320304	0.007186699	0.003414629	0.00725624	0.009962142	0.0037400906	0.007522208	0.0150890015	0.0031680628	0.0012896081	0.015942689	0.002102258	0.0023755904	0.005941332	0.001993727	0.0027806996	0.011233329	0.0020169315	0.00324974	0.007432168	0.0018868364	0.0036093947	0.0066803764	0.0018815201	0.003908243	0.0064524156	0.0018782339	0.0042632357	0.0060970094	0.0018527784	0.0048138336	0.005548475	0.0015088953
1042671	6.511704e-06	1.009989e-05	7.1333943e-06	2.1541193e-06	1.0252331e-06	2.5606685e-06	6.7046058e-06	1.0082162e-05	7.24013e-06	6.7760943e-06	1.0023673e-05	7.408835e-06	7.2218795e-06	9.704301e-06	7.5807725e-06	8.578342e-06	1.1860719e-05	7.8976e-06	1.2220553e-05	1.7707942e-05	8.317641e-06	8.65051e-06	1.6069684e-05	8.393427e-06	1.8023679e-06	1.26056275e-05	2.8028674e-06	2.5850363e-06	1.1061815e-06	1.8699302e-06	2.0785294e-06	1.4406281e-06	2.6583991e-06	3.3984447e-06	1.4083386e-06	3.6948484e-06	3.1669979e-06	1.2561778e-06	3.9982106e-06	3.4733623e-06	1.0961816e-06	4.1728877e-06	4.017663e-06	1.2090651e-06	4.5837837e-06	4.9106466e-06	1.6682125e-06	7.095028e-06
818174	0.0020940818	0.005467893	0.0023062555	9.074074e-05	0.00026879675	0.0002296794	0.0023016564	0.005437967	0.0022975062	0.0023139552	0.005271135	0.0022804774	0.002296778	0.0009239358	0.002257803	0.0021018558	0.0015756807	0.0022056452	0.0017235178	0.0015711182	0.0021396535	0.0020915123	0.0011659662	0.0025487803	0.0016683883	0.0011014818	0.0041516013	0.00029499305	0.00029177277	0.00027132907	0.00012280341	0.00027498006	0.00013003022	0.00026142504	0.00013716304	0.00019718183	0.00027170824	3.1258933e-05	0.00021372428	0.00028703324	8.3948835e-06	0.00021967418	0.00028843552	1.8212491e-05	0.00022454515	0.00036597945	6.41973e-05	0.00019538982
585221	9.1858874e-07	1.0036829e-06	9.1471117e-07	1.020972e-06	1.0517963e-06	1.0379994e-06	9.1858925e-07	1.0041347e-06	9.138275e-07	9.179914e-07	1.0110081e-06	9.125262e-07	9.142315e-07	9.665476e-07	9.114204e-07	9.118687e-07	9.662207e-07	9.1009633e-07	9.61441e-07	1.0181416e-06	9.1202344e-07	1.0075554e-06	1.1246507e-06	9.0559064e-07	9.538842e-07	1.1509456e-06	9.198784e-07	1.0314956e-06	1.0455223e-06	9.816921e-07	1.002274e-06	1.0344955e-06	1.0514268e-06	1.0671705e-06	9.984977e-07	1.1138419e-06	1.0576981e-06	9.962225e-07	1.1294821e-06	1.077397e-06	9.325486e-07	1.139271e-06	1.1260761e-06	9.71779e-07	1.162827e-06	1.2003798e-06	1.014691e-06	1.2800883e-06
1033380	9.3085373e-07	1.0265647e-06	9.2805215e-07	1.0097309e-06	1.0504269e-06	1.0199584e-06	9.3061993e-07	1.0271699e-06	9.274616e-07	9.3024846e-07	1.037002e-06	9.265836e-07	9.277787e-07	9.769399e-07	9.258509e-07	9.275447e-07	9.801381e-07	9.250457e-07	9.783264e-07	1.0297285e-06	9.2705125e-07	1.0218334e-06	1.1351276e-06	9.189958e-07	9.167397e-07	1.1622549e-06	9.080757e-07	1.0117211e-06	1.0441172e-06	9.593061e-07	9.917371e-07	1.0299555e-06	1.0379057e-06	1.0641025e-06	9.903363e-07	1.1010385e-06	1.0560783e-06	9.849854e-07	1.1171422e-06	1.0724527e-06	9.3588784e-07	1.1271402e-06	1.1149859e-06	9.609026e-07	1.1510357e-06	1.1848131e-06	1.0157415e-06	1.2666718e-06
875704	0.00019708299	0.0012587562	0.00023391406	0.00015298305	8.9645364e-05	0.00017012436	0.0002307167	0.0012524879	0.00023371607	0.00023260395	0.0011976925	0.000233114	0.00023392522	0.00012606062	0.00023211316	0.00022953955	0.00023378829	0.00022955751	0.00022758228	0.00022707468	0.00022637796	0.00026362028	0.00019392994	0.0002377469	0.00024595988	0.00019148644	0.00032206273	0.00017532715	9.551007e-05	0.00015254505	0.00014885773	0.00013327331	0.00016646757	0.00016727102	0.000115991155	0.00019654265	0.00016247868	0.00012619139	0.00020494337	0.00017975816	0.00018548995	0.00021018427	0.0002120715	0.00013776607	0.0002232265	0.00026625444	0.00010895747	0.00030756023
