	pearson_reconstructed	pearson_predicted	braycurtis_reconstructed	braycurtis_predicted
11116.C14A66.1198094	0.9877519	0.93980366	0.15346065	0.3933866
11116.A28B070.1197241	0.9398519	0.7079432	0.17733935	0.36384118
11116.L29A063.1193919	0.97096676	0.80887115	0.123563446	0.2776026
11116.I17A099.1195959	0.9727594	0.62133354	0.2039797	0.5317692
11116.I07A091.1194537	0.9796056	0.93514323	0.18942228	0.31726384
11116.C21A61.1195018	0.9977763	0.96069705	0.12638317	0.36805147
11116.U473A61.1196997	0.98369384	0.8202718	0.23269893	0.41284862
11116.C04A62.1195715	0.9245637	0.18592799	0.16608031	0.61988
11116.I20A089.1198336	0.99998695	0.94589275	0.021671647	0.5741246
11116.L07A083.1198223	0.76891565	0.38724914	0.32774705	0.6450933
11116.L11A073.1196605	0.99636537	0.28353226	0.1506602	0.5978919
11116.L32A088.1198292	0.99740195	0.9910254	0.12823708	0.22077365
11116.C06A64.1196629	0.89747655	0.10986611	0.19245125	0.6482675
11116.I03A074.1196271	0.8434914	0.7065176	0.21400513	0.3348117
11116.A14D070.1198033	0.37786445	0.20833404	0.7537603	0.8660932
11116.L25A087.1193913	0.7934465	0.19719093	0.26721567	0.5821326
11116.I24A087.1198426	0.91111755	0.7074626	0.25212276	0.4212451
11116.L25A103.1194336	0.997872	0.93877673	0.10557674	0.33036256
11116.I05A094.1196567	0.99996746	0.96670216	0.024243625	0.59390134
11116.L16A069.1198066	0.9528341	0.85429394	0.16116029	0.25259408
11116.I05A066.1196616	0.9762151	0.8048866	0.1275242	0.3352847
11116.A19B088.1193871	0.9986132	0.9620008	0.09498776	0.2568184
11116.A18B103.1196818	0.99975324	0.9665835	0.04566343	0.3739941
11116.I31A075.1194430	0.90313596	0.5209297	0.22671576	0.4279216
11116.I30A118.1195420	0.9767723	0.9587179	0.1782905	0.2762218
11116.A27A079.1197789	0.9246388	0.8014193	0.18599358	0.31354156
11116.I19A079.1197043	0.91272235	0.6270744	0.19683495	0.40368164
11116.L24A104.1194945	0.9892559	0.9577313	0.19806927	0.30591008
11116.A02C103.1193712	0.9977089	0.93213606	0.11437623	0.2908717
11116.A07B073.1195110	0.98237866	0.5252692	0.16916342	0.41160157
11116.A32B079.1197867	0.96437776	0.7718295	0.17413521	0.27196908
11116.L05A087.1198119	0.9994503	0.8742372	0.0947395	0.5773618
11116.L12A104.1196436	0.99939895	0.96839076	0.08645021	0.41074467
11116.I23A072.1195187	0.91176677	0.6846291	0.20074145	0.3936709
11116.A15B085.1197999	0.9999049	0.93788654	0.030615803	0.66302806
11116.I19A101.1198113	0.9911487	0.7951461	0.13088916	0.4171687
11116.A22C076.1196756	0.95031416	0.7717332	0.1847374	0.3724201
11116.L26A092.1195005	0.9906661	0.23857878	0.23311134	0.63496685
11116.L18A083.1196591	0.99974024	0.97853327	0.09219192	0.2638979
11116.L18A061.1194962	0.9689048	0.8635883	0.11971574	0.24040648
11116.U451A63.1196487	0.8711442	0.27243072	0.33048585	0.74845266
11116.I30A068.1195947	0.8146588	0.31747222	0.29327175	0.56338274
11116.U485A63.1198396	0.99719733	0.8084263	0.1253742	0.37742004
11116.I14A067.1194089	0.76536185	0.65934414	0.26675287	0.35030615
11116.I32A065.1194164	0.9542024	0.8005108	0.16696051	0.37088212
11116.L31A093.1198356	0.99987906	0.95899	0.061086982	0.48130143
11116.A03C079.1196843	0.82096773	0.4916487	0.27504817	0.49285522
11116.I28A073.1196297	0.7798118	0.66783	0.31029412	0.47081408
11116.L19A076.1195703	0.87216866	0.80499303	0.23729742	0.30493453
11116.I02A079.1198408	0.8555703	0.8503051	0.25859264	0.34504464
11116.L07A094.1195665	0.92660165	0.87886477	0.245852	0.39331725
11116.A05A103.1195864	0.99973124	0.8899867	0.06323759	0.32606336
11116.U451A61.1197016	0.9756396	0.4263386	0.2124919	0.6614178
11116.L20A084.1198447	0.99237436	0.95736736	0.14473984	0.31049037
11116.I31A070.1196039	0.9498384	0.39797544	0.18585716	0.45229477
11116.I13A065.1195324	0.904156	0.5837302	0.2178521	0.41643023
11116.A28B064.1195892	0.9760926	0.6445886	0.15185557	0.3776907
11116.A03D073.1195127	0.8765695	0.4593052	0.25483352	0.516207
11116.A19D097.1193648	0.9875797	0.90168875	0.15211418	0.42341918
11116.I19A086.1195026	0.9701949	0.53140885	0.21062487	0.57936054
11116.C28A65.1197362	0.99618185	0.96800196	0.14256632	0.35239476
11116.L27A098.1198030	0.9972526	0.9754882	0.12190168	0.27564663
11116.A32B100.1195571	0.9938764	0.9341727	0.12702008	0.3363308
11116.L13A079.1195357	0.95863616	0.6970196	0.176502	0.41340473
11116.L10A088.1195717	0.992049	0.9027096	0.16465935	0.36102077
11116.I22A072.1195519	0.89782006	0.5510102	0.20487674	0.42938462
11116.I18A068.1194810	0.924568	0.6592998	0.17865965	0.36982775
11116.A21A061.1198092	0.9666215	0.87101525	0.13328761	0.23685792
11116.L01A068.1196902	0.98800254	0.19048639	0.17753051	0.722657
11116.I26A099.1196504	0.9771285	0.3772403	0.23164298	0.6006001
11116.A17A064.1197512	0.9453115	0.6886105	0.1698534	0.32844657
11116.L04A075.1195249	0.9616503	0.82636046	0.1565935	0.34874463
11116.I23A101.1194800	0.99735147	0.98054415	0.1090503	0.22390983
11116.I10A080.1195907	0.8748364	0.71130854	0.25662786	0.38186923
11116.I28A081.1195638	0.83483833	0.59585845	0.25347647	0.4643387
11116.I18A087.1198085	0.91104144	0.45214042	0.20151857	0.463398
11116.A24A118.1196233	0.9765238	0.83693576	0.1692937	0.32994235
11116.A29A097.1198462	0.9997778	0.9222424	0.05048384	0.3332439
11116.L13A087.1195713	0.9988935	0.93729156	0.09071395	0.38810918
11116.I26A104.1194241	0.9732936	0.9016713	0.19106625	0.4378203
11116.A17B061.1197067	0.9520276	0.908227	0.13325077	0.19543053
11116.I25A066.1198051	0.944577	0.747444	0.17522043	0.35909662
11116.I25A091.1194410	0.91982776	0.7080768	0.20291083	0.47286704
11116.U537A62.1195960	0.95383257	0.3043991	0.20401679	0.6751132
11116.A08C067.1194562	0.9081879	0.5772155	0.23566751	0.5634843
11116.A32C079.1194330	0.9380247	0.670231	0.19976948	0.41172934
11116.I27A087.1196717	0.9483338	0.24282981	0.2290354	0.52878106
11116.U531A63.1195516	0.84044564	0.22610147	0.279131	0.6763034
11116.L29A119.1197733	0.88574314	0.6347295	0.26334894	0.39064094
11116.I10A102.1194332	0.9997209	0.9928451	0.052431438	0.32597357
11116.A31A061.1193918	0.9411788	0.85715353	0.14665987	0.23077473
11116.I03A085.1193647	0.9417102	0.37418348	0.2358703	0.5593933
11116.L24A085.1195747	0.9972112	0.9084427	0.12259664	0.33407652
11116.A18A073.1195252	0.9494209	0.34989756	0.24458535	0.5259032
11116.A26A085.1194465	0.9959307	0.89721245	0.13863151	0.49156994
11116.C01A62.1198284	0.9365825	0.15700571	0.16549803	0.5683057
11116.I05A079.1196381	0.90416086	0.75475776	0.20315564	0.28372288
11116.I27A118.1195460	0.9995997	0.9308187	0.069934994	0.38984042
11116.U489A63.1196198	0.8554391	0.06990578	0.3360188	0.6764113
11116.A21D091.1195046	0.9996774	0.9904402	0.05726471	0.42115873
11116.A08D088.1197363	0.70553577	0.32924086	0.40643358	0.61350477
11116.A01C073.1196217	0.9578987	0.7770573	0.18149567	0.38079348
11116.U473A62.1195000	0.97874624	0.43395922	0.18745406	0.572613
11116.C04A66.1196722	0.9410289	0.2011353	0.15266667	0.6002346
11116.A15C082.1195381	0.9464024	0.20313981	0.2183054	0.63784784
11116.L30A069.1196384	0.9251734	0.5837846	0.20064361	0.4181142
11116.L15A097.1194646	0.98821807	0.92654234	0.16904828	0.34534833
11116.A09D085.1195396	0.8938248	0.07976168	0.32322195	0.70833963
11116.A21B118.1194094	0.94004923	0.6650206	0.2615551	0.41473815
11116.A20A118.1196966	0.99431944	0.90776664	0.14849913	0.27845603
11116.I16A104.1196611	0.9993623	0.9836996	0.07738572	0.37168643
11116.L29A096.1197596	0.98887366	0.97375983	0.17173895	0.32278156
11116.A24D079.1194856	0.91400415	0.45440808	0.17125703	0.47703806
11116.A25B082.1198420	0.9995942	0.78700167	0.087299444	0.3732877
11116.A01C064.1196647	0.98468554	0.77246654	0.11532176	0.3359165
11116.I14A119.1198008	0.96613115	0.9385137	0.19100283	0.2856876
11116.A06B085.1197841	0.9689823	0.8727549	0.18877368	0.64818686
11116.L10A092.1197935	0.99996966	0.9555208	0.028346052	0.54551226
11116.L20A095.1194543	0.9936355	0.95948297	0.1460026	0.37139553
11116.C26A61.1195406	0.8959638	0.12537901	0.1914623	0.65362227
11116.A04A070.1197123	0.9085927	0.69701445	0.20280564	0.35337064
11116.I27A068.1193675	0.8797225	0.6181052	0.23658104	0.40350512
11116.I23A105.1196767	0.71894634	0.68315494	0.33204752	0.47447342
11116.L20A081.1194773	0.9547017	0.5832236	0.13331068	0.39295313
11116.A06B070.1198022	0.9362182	0.79253787	0.19075307	0.31736076
11116.A04D061.1193611	0.9693282	0.85265803	0.12649663	0.2755134
11116.A02C061.1194431	0.8828612	0.796462	0.24050729	0.3064413
11116.I18A077.1195107	0.9237552	0.7112805	0.16796176	0.35100785
11116.A04B079.1195390	0.8617186	0.6715118	0.2810458	0.42340103
11116.C06A65.1196790	0.9224775	0.15102027	0.1920711	0.61608326
11116.U483A61.1196433	0.9005398	0.016236825	0.4561571	0.79794466
11116.I18A100.1197546	0.9992765	0.9703785	0.081353776	0.37924448
11116.L20A070.1194656	0.94887084	0.82675064	0.17584662	0.3234985
11116.A33B076.1195540	0.9173635	0.659353	0.17572469	0.35019976
11116.L15A091.1196575	0.9865771	0.91487324	0.1611538	0.38617587
11116.L06A103.1194725	0.86933255	0.14328502	0.29709083	0.62226504
11116.L10A066.1195706	0.97846097	0.91461205	0.12848242	0.22596997
11116.A18B076.1194586	0.94367343	0.8109537	0.19046581	0.30649987
11116.A11A085.1195089	0.99990886	0.9374211	0.02600717	0.6731011
11116.I27A077.1194307	0.8449535	0.5863263	0.22053383	0.47409567
11116.A25D070.1197273	0.8760575	0.5602149	0.2159037	0.42816618
11116.I28A080.1194881	0.95471674	0.74310887	0.16832553	0.40240252
11116.A09B088.1196112	0.98893374	0.93128735	0.15741035	0.34145615
11116.I20A068.1196888	0.9063516	0.6834076	0.18506967	0.40612984
11116.L32A082.1196654	0.9996798	0.97443783	0.08067043	0.33427486
11116.A12B100.1196607	0.99769497	0.8626491	0.103196934	0.31063518
11116.A07D079.1194072	0.97056663	0.5662536	0.14121333	0.46135736
11116.A04D070.1194629	0.94359773	0.5289672	0.22131237	0.46992534
11116.L25A075.1196517	0.95989245	0.8019776	0.15991916	0.29637626
11116.A27D067.1194807	0.8815408	0.7140753	0.2023375	0.36047676
11116.I21A077.1194016	0.90550405	0.72345257	0.18018447	0.33179203
11116.I01A090.1193684	0.9920574	0.97091734	0.1205562	0.3766984
11116.L08A092.1195851	0.9837085	0.8322853	0.15248416	0.47948542
11116.I07A087.1198423	0.9469945	0.9032495	0.2946953	0.35768157
11116.C25A66.1194716	0.95618415	0.27145067	0.17990865	0.6093032
11116.L13A093.1197437	0.9980271	0.96921355	0.09831629	0.3246734
11116.L02A092.1196280	0.9999181	0.9623614	0.04852603	0.48143977
11116.A27A061.1195724	0.9610548	0.7528155	0.14501452	0.31536058
11116.L25A081.1193686	0.9617019	0.7284766	0.16141845	0.32183993
11116.A02B073.1196026	0.9599309	0.42459255	0.19136825	0.42506558
11116.A15B079.1193856	0.9258265	0.8030565	0.18823756	0.3199955
11116.L07A101.1198306	0.96503717	0.41213492	0.2275537	0.49657896
