experiment n.,Input transform,Output transform,Reconstruction Loss,Latent Space,Bioma Autoencoder,Domain Autoencoder,Activation Encoder,Activation Decoder,Activation Latent,CV folds,Epochs,Batch Size,Learning Rate Scheduler,Learning Rate,Optimizer,best_lost_epoch,loss,loss_min,loss_max,bioma_loss,bioma_loss_min,bioma_loss_max,domain_loss,domain_loss_min,domain_loss_max,latent_loss,latent_loss_min,latent_loss_max,bioma_mse,bioma_mse_min,bioma_mse_max,bioma_mae,bioma_mae_min,bioma_mae_max,bioma_mape,bioma_mape_min,bioma_mape_max,bioma_BrayCurtis,bioma_BrayCurtis_min,bioma_BrayCurtis_max,bioma_pearson_corr,bioma_pearson_corr_min,bioma_pearson_corr_max,bioma_jensen_shannon_divergence,bioma_jensen_shannon_divergence_min,bioma_jensen_shannon_divergence_max,domain_mse,domain_mse_min,domain_mse_max,domain_mae,domain_mae_min,domain_mae_max,domain_mape,domain_mape_min,domain_mape_max,domain_BrayCurtis,domain_BrayCurtis_min,domain_BrayCurtis_max,domain_pearson_corr,domain_pearson_corr_min,domain_pearson_corr_max,domain_jensen_shannon_divergence,domain_jensen_shannon_divergence_min,domain_jensen_shannon_divergence_max,latent_mae,latent_mae_min,latent_mae_max
0,none,ReLU,MeanSquaredError,10,b -> 512 -> 256 -> 10 -> 256 -> 512 -> b,d -> 32 -> 16 -> 10 -> 256 -> 512 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,665020.3339285713,547142.90625,827781.8839285715,322898.25,273571.46875,413890.9375,342121.8125,273571.46875,420396.34375,0.28340521454811096,0.0005352373118512332,1.2000375986099243,321625.53125,272344.96875,406481.6875,37.1093635559082,36.4007568359375,38.59487533569336,9067.857421875,6774.0927734375,10902.6142578125,0.5474756956100464,0.5091018676757812,0.6335217952728271,0.5497711300849915,0.528018593788147,0.5725769996643066,1.9073479175567627,1.2821381092071533,3.490610361099243,340999.125,272344.96875,423664.75,36.60428237915039,34.13602828979492,38.59487533569336,10827.6337890625,8097.3994140625,15572.9765625,0.5508195161819458,0.5091018676757812,0.6502405405044556,0.49578365683555603,0.2580814063549042,0.5725769996643066,1.990695595741272,1.2754716873168945,3.9140148162841797,0.28302574157714844,0.0005352376610971987,1.2000374794006348
1,none,ReLU,MeanSquaredError,10,b -> 256 -> 10 -> 256 -> b,d -> 16 -> 10 -> 256 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,595968.4625,492530.46875,775957.125,274623.84375,218637.546875,361172.78125,321343.8125,273892.3125,414783.4375,0.7862294316291809,0.5661631226539612,1.0039063692092896,273478.625,217266.234375,353862.625,29.835861206054688,28.664993286132812,31.051855087280273,13111.0625,11966.775390625,14200.8291015625,0.421977698802948,0.4077658951282501,0.4417269229888916,0.7272860407829285,0.7162449955940247,0.7346143126487732,1.0165321826934814,0.958056628704071,1.0847476720809937,320069.375,272473.71875,407296.4375,37.366554260253906,35.90296936035156,39.31293487548828,11338.96484375,10088.6396484375,12333.384765625,0.5195730328559875,0.5052265524864197,0.5294640064239502,0.5566920638084412,0.5398181080818176,0.569284200668335,1.308484435081482,1.2528762817382812,1.3786520957946777,0.7853983044624329,0.5649471282958984,1.0044606924057007
2,none,ReLU,MeanSquaredError,10,b -> 10 -> b,d -> 10 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,814657.6544642857,686680.8705357143,1034707.1875,407559.46875,343384.21875,517529.1875,407097.9375,343296.40625,517177.8125,0.24322836101055145,0.03117203898727894,0.47855016589164734,405808.3125,340905.875,507673.78125,32.63971710205078,31.44978904724121,34.384342193603516,18364.23046875,17679.478515625,19329.017578125,0.557475209236145,0.5503496527671814,0.571165144443512,0.5168355703353882,0.5039962530136108,0.5260725021362305,1.5807305574417114,1.5418604612350464,1.6508373022079468,405345.1875,340816.59375,507322.8125,33.14173126220703,31.828201293945312,34.7876091003418,18800.59765625,17626.3046875,20147.138671875,0.5604877471923828,0.5519974231719971,0.5701945424079895,0.5154470205307007,0.5044785737991333,0.5233104825019836,1.5437361001968384,1.4786639213562012,1.6072962284088135,0.24199751019477844,0.02926058880984783,0.4772365689277649
3,none,ReLU,MeanSquaredError,50,b -> 512 -> 256 -> 50 -> 256 -> 512 -> b,d -> 32 -> 16 -> 50 -> 256 -> 512 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,91,632255.6303571429,517422.5535714286,827885.2589285715,306580.5625,210975.203125,413942.59375,325674.84375,273534.59375,413942.59375,0.2396811544895172,0.0024407764431089163,0.6307589411735535,305413.0625,208826.578125,406532.59375,35.505733489990234,29.184476852416992,38.4525260925293,10287.748046875,8222.6240234375,13179.9619140625,0.5004547834396362,0.4149019122123718,0.531211793422699,0.5911573767662048,0.5401438474655151,0.7236704230308533,1.3775742053985596,1.0108217000961304,1.5895527601242065,324381.875,272305.25,406532.59375,37.54747772216797,36.13440704345703,39.3931999206543,9650.892578125,8222.6240234375,10561.1484375,0.5235543847084045,0.5120469927787781,0.531211793422699,0.5545152425765991,0.5401438474655151,0.572623610496521,1.4539430141448975,1.3283647298812866,1.5895527601242065,0.2395276576280594,0.002440160606056452,0.6299030184745789
4,none,ReLU,MeanSquaredError,50,b -> 256 -> 50 -> 256 -> b,d -> 16 -> 50 -> 256 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,610185.0901785714,493497.51339285716,777583.8080357143,285932.75,219106.015625,363293.25,324251.78125,274390.71875,414289.75,0.5909665822982788,0.04759952798485756,0.8231717944145203,284684.9375,217768.75,355867.25,31.301977157592773,28.62729835510254,36.08863830566406,12845.9482421875,11011.34375,14496.7763671875,0.4421798586845398,0.4094836711883545,0.5186684131622314,0.7000049352645874,0.5566996335983276,0.7414300441741943,1.0855830907821655,0.9545986652374268,1.3590309619903564,322955.9375,273000.65625,406873.25,37.31508255004883,36.27244186401367,39.132606506347656,10959.2763671875,9779.48046875,11833.90625,0.5228109955787659,0.5167043209075928,0.5315346121788025,0.552173912525177,0.535226583480835,0.5605354905128479,1.3365957736968994,1.2911527156829834,1.406468391418457,0.5900132060050964,0.04707051441073418,0.8203702569007874
5,none,ReLU,MeanSquaredError,50,b -> 50 -> b,d -> 50 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,761767.6848214285,640801.0580357143,972743.0535714285,380785.5625,322320.84375,485684.96875,380981.5625,318479.53125,487057.4375,0.6002450585365295,0.42375025153160095,0.6752448081970215,379087.3125,319934.15625,476176.53125,30.990432739257812,29.550703048706055,32.9600715637207,13478.603515625,12108.3447265625,15487.8837890625,0.48564958572387695,0.47592052817344666,0.5011999011039734,0.6549065709114075,0.6294997930526733,0.6701270937919617,1.2074909210205078,1.1569207906723022,1.310741662979126,379287.4375,316127.3125,477558.875,34.023773193359375,32.88014602661133,35.70009231567383,16080.259765625,14831.8544921875,17472.478515625,0.5372719168663025,0.5323676466941833,0.5469580292701721,0.5656799077987671,0.5568771362304688,0.5751601457595825,1.345933198928833,1.2978465557098389,1.4163349866867065,0.5991684794425964,0.4224835932254791,0.6746043562889099
6,none,ReLU,MeanSquaredError,100,b -> 512 -> 256 -> 100 -> 256 -> 512 -> b,d -> 32 -> 16 -> 100 -> 256 -> 512 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,644735.25,547170.75,826310.0982142857,322246.96875,273585.28125,412552.15625,322488.0625,273585.28125,413757.6875,0.1882280707359314,0.0018763941479846835,0.30085161328315735,320981.71875,272359.46875,405273.0,37.19237518310547,36.39176559448242,38.415687561035156,9877.6103515625,8225.662109375,11918.046875,0.5213310122489929,0.5092435479164124,0.5281291604042053,0.5569732189178467,0.5407811999320984,0.5726156830787659,1.4536956548690796,1.2790168523788452,1.5176571607589722,321199.28125,272359.46875,406360.71875,37.268310546875,36.39176559448242,38.795372009277344,9849.40234375,8225.662109375,11777.005859375,0.52112877368927,0.5092435479164124,0.5281291604042053,0.5575001835823059,0.5407811999320984,0.5726156830787659,1.4417917728424072,1.2790168523788452,1.5176571607589722,0.18790169060230255,0.0018760284874588251,0.2992057204246521
7,none,ReLU,MeanSquaredError,100,b -> 256 -> 100 -> 256 -> b,d -> 16 -> 100 -> 256 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,598957.6741071428,493633.71875,774478.9732142857,274019.3125,218541.75,359250.03125,324937.53125,275090.8125,415228.15625,0.8466044664382935,0.40173885226249695,1.174988865852356,272846.9375,217178.328125,351869.0625,29.5853271484375,28.167633056640625,30.6241397857666,12700.068359375,10936.498046875,14112.1767578125,0.41525036096572876,0.40320518612861633,0.42426395416259766,0.7472303509712219,0.7293812036514282,0.7619935870170593,0.9903906583786011,0.9016980528831482,1.084533929824829,323619.0,273735.84375,407695.8125,37.65349578857422,36.63615036010742,39.16544723510742,10994.552734375,9469.67578125,12291.5869140625,0.524695634841919,0.5184905529022217,0.5289703607559204,0.5495902299880981,0.5333563685417175,0.5603074431419373,1.3345911502838135,1.2898502349853516,1.382421612739563,0.8460338711738586,0.4009445309638977,1.1747311353683472
8,none,ReLU,MeanSquaredError,100,b -> 100 -> b,d -> 100 -> b,tanh,tanh,tanh,5,100,128,none,constant = 0.01,Adam,99,713201.71875,603283.8169642857,916989.3928571428,350490.25,295496.53125,451792.8125,362710.6875,307786.4375,465195.78125,0.7808475494384766,0.591384768486023,0.8949283957481384,348883.59375,293267.90625,442712.8125,29.60927391052246,28.625186920166016,31.10089874267578,11378.2880859375,10066.150390625,12504.2548828125,0.43891897797584534,0.43174734711647034,0.44662022590637207,0.7138270139694214,0.6922850012779236,0.757247805595398,1.0428133010864258,0.9931909441947937,1.1183059215545654,361073.8125,305525.625,456054.3125,34.40473937988281,33.17457580566406,36.415672302246094,14272.9482421875,13648.46484375,16014.5283203125,0.5213598012924194,0.5104146003723145,0.538237988948822,0.5662714242935181,0.5577886700630188,0.5815965533256531,1.2706019878387451,1.227431058883667,1.3769558668136597,0.779873251914978,0.5908116102218628,0.8940048217773438
9,none,ReLU,MeanSquaredError,10,b -> 512 -> 256 -> 10 -> 256 -> 512 -> b,d -> 32 -> 16 -> 10 -> 256 -> 512 -> b,relu,relu,relu,5,100,128,none,constant = 0.01,Adam,95,527544.9790178571,257030.43973214287,768560.4910714285,263659.84375,10737.654296875,415990.71875,263840.0,209442.421875,352558.59375,45.097469329833984,2.036299705505371,158.99269104003906,261801.09375,10330.552734375,408634.625,33.221336364746094,18.347671508789062,37.68171310424805,3384.537109375,2190.031005859375,4495.765625,0.6600400805473328,0.4812076687812805,0.7172269225120544,0.5703931450843811,0.5056518912315369,0.77766352891922,3.777977705001831,2.1941933631896973,4.247365951538086,263351.75,209061.296875,346400.71875,31.68951988220215,30.271892547607422,33.80374526977539,3648.43603515625,2777.021728515625,4410.94189453125,0.5830473303794861,0.483264684677124,0.7213106751441956,0.6596570014953613,0.5156710147857666,0.7316430807113647,3.0571680068969727,2.1383867263793945,4.444851398468018,45.161964416503906,2.0264809131622314,159.42459106445312
