"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"570086"	"k__Bacteria"	"p__Bacteroidetes"	"c__Flavobacteriia"	NA	NA	NA	NA
"217700"	"k__Bacteria"	"p__Armatimonadetes"	"c__[Fimbriimonadia]"	NA	NA	NA	NA
"849156"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	NA	NA	NA	NA
"221349"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	NA	NA	NA	NA
"4434837"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Verrucomicrobiae"	NA	NA	NA	NA
"573135"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	NA	NA	NA	NA
"3609950"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-5"	NA	NA	NA	NA
"4339351"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	NA	NA	NA	NA
"541511"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	NA	NA	NA	NA
"1111883"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	NA	NA	NA	NA
"562922"	"k__Bacteria"	"p__Chloroflexi"	"c__Gitt-GS-136"	NA	NA	NA	NA
"545548"	"k__Bacteria"	"p__Chloroflexi"	"c__Chloroflexi"	NA	NA	NA	NA
"646549"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	NA	NA	NA	NA
"1107346"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	NA	NA	NA	NA
"585878"	"k__Bacteria"	"p__WS3"	"c__PRR-12"	NA	NA	NA	NA
"4318356"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	NA	NA	NA	NA
"353494"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	NA	NA	NA	NA
"1021984"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	NA	NA	NA	NA
"509899"	"k__Bacteria"	"p__Acidobacteria"	"c__iii1-8"	NA	NA	NA	NA
"213308"	"k__Bacteria"	"p__Chloroflexi"	"c__Thermomicrobia"	NA	NA	NA	NA
"570595"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	NA	NA	NA	NA
"1142871"	"k__Bacteria"	"p__Actinobacteria"	"c__MB-A2-108"	NA	NA	NA	NA
"537655"	"k__Bacteria"	"p__Nitrospirae"	"c__Nitrospira"	NA	NA	NA	NA
"207355"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	NA	NA	NA	NA
"4469039"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	NA	NA	NA	NA
"673712"	"k__Bacteria"	"p__Acidobacteria"	"c__RB25"	NA	NA	NA	NA
"571700"	"k__Bacteria"	"p__Chloroflexi"	"c__S085"	NA	NA	NA	NA
"112867"	"k__Bacteria"	"p__Chloroflexi"	"c__Ellin6529"	NA	NA	NA	NA
"783660"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	NA	NA	NA	NA
"112949"	"k__Bacteria"	"p__Chloroflexi"	"c__TK10"	NA	NA	NA	NA
"1081222"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	NA	NA	NA	NA
"223655"	"k__Bacteria"	"p__Planctomycetes"	"c__Phycisphaerae"	NA	NA	NA	NA
"357721"	"k__Bacteria"	"p__Elusimicrobia"	"c__Elusimicrobia"	NA	NA	NA	NA
"368218"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	NA	NA	NA	NA
"225379"	"k__Bacteria"	"p__Acidobacteria"	"c__Sva0725"	NA	NA	NA	NA
"254346"	"k__Bacteria"	"p__Actinobacteria"	"c__Rubrobacteria"	NA	NA	NA	NA
"1081489"	"k__Bacteria"	"p__Fibrobacteres"	"c__Fibrobacteria"	NA	NA	NA	NA
"539336"	"k__Bacteria"	"p__Acidobacteria"	"c__PAUC37f"	NA	NA	NA	NA
"226240"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Opitutae"	NA	NA	NA	NA
"329490"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	NA	NA	NA	NA
"256569"	"k__Bacteria"	"p__Chlorobi"	"c__"	NA	NA	NA	NA
"235541"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	NA	NA	NA	NA
"556561"	"k__Archaea"	"p__Crenarchaeota"	"c__Thaumarchaeota"	NA	NA	NA	NA
"529793"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	NA	NA	NA	NA
"550219"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	NA	NA	NA	NA
