"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"570086"	"k__Bacteria"	"p__Bacteroidetes"	"c__Flavobacteriia"	"o__Flavobacteriales"	NA	NA	NA
"221791"	"k__Bacteria"	"p__Acidobacteria"	"c__iii1-8"	"o__32-20"	NA	NA	NA
"217700"	"k__Bacteria"	"p__Armatimonadetes"	"c__[Fimbriimonadia]"	"o__[Fimbriimonadales]"	NA	NA	NA
"852722"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Spirobacillales"	NA	NA	NA
"849156"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	NA	NA	NA
"4477117"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__B97"	NA	NA	NA
"221349"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemmatimonadetes"	"o__N1423WL"	NA	NA	NA
"4434837"	"k__Bacteria"	"p__Verrucomicrobia"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	NA	NA	NA
"573135"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	NA	NA	NA
"3609950"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-5"	"o__"	NA	NA	NA
"4339351"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	NA	NA	NA
"541511"	"k__Bacteria"	"p__Bacteroidetes"	"c__Cytophagia"	"o__Cytophagales"	NA	NA	NA
"624858"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__11-24"	NA	NA	NA
"922761"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	NA	NA	NA
"1111883"	"k__Bacteria"	"p__Gemmatimonadetes"	"c__Gemm-1"	"o__"	NA	NA	NA
"225453"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Alteromonadales"	NA	NA	NA
"562922"	"k__Bacteria"	"p__Chloroflexi"	"c__Gitt-GS-136"	"o__"	NA	NA	NA
"591340"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Ellin6067"	NA	NA	NA
"828127"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__NB1-j"	NA	NA	NA
"545548"	"k__Bacteria"	"p__Chloroflexi"	"c__Chloroflexi"	"o__[Roseiflexales]"	NA	NA	NA
"562604"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__[Entotheonellales]"	NA	NA	NA
"646549"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	NA	NA	NA
"1107346"	"k__Bacteria"	"p__Acidobacteria"	"c__[Chloracidobacteria]"	"o__RB41"	NA	NA	NA
"591157"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__"	NA	NA	NA
"521158"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Planctomycetales"	NA	NA	NA
"751555"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	NA	NA	NA
"585878"	"k__Bacteria"	"p__WS3"	"c__PRR-12"	"o__Sediment-1"	NA	NA	NA
"144633"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__H39"	NA	NA	NA
"4318356"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	NA	NA	NA
"353494"	"k__Bacteria"	"p__Bacteroidetes"	"c__[Saprospirae]"	"o__[Saprospirales]"	NA	NA	NA
"532125"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__Caldilineales"	NA	NA	NA
"1021984"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	NA	NA	NA
"509899"	"k__Bacteria"	"p__Acidobacteria"	"c__iii1-8"	"o__DS-18"	NA	NA	NA
"213308"	"k__Bacteria"	"p__Chloroflexi"	"c__Thermomicrobia"	"o__JG30-KF-CM45"	NA	NA	NA
"570595"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	NA	NA	NA
"2068089"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteria-6"	"o__CCU21"	NA	NA	NA
"1142871"	"k__Bacteria"	"p__Actinobacteria"	"c__MB-A2-108"	"o__0319-7L14"	NA	NA	NA
"837424"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodobacterales"	NA	NA	NA
"571484"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Methylophilales"	NA	NA	NA
"4308759"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Syntrophobacterales"	NA	NA	NA
"537655"	"k__Bacteria"	"p__Nitrospirae"	"c__Nitrospira"	"o__Nitrospirales"	NA	NA	NA
"250522"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__"	NA	NA	NA
"207355"	"k__Bacteria"	"p__Chloroflexi"	"c__Anaerolineae"	"o__SBR1031"	NA	NA	NA
"142384"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__A21b"	NA	NA	NA
"4469039"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Pirellulales"	NA	NA	NA
"673712"	"k__Bacteria"	"p__Acidobacteria"	"c__RB25"	"o__"	NA	NA	NA
