"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"556561"	"Archaea"	"Thaumarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	NA	NA	NA
"783660"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	NA	NA	NA
"570595"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	NA	NA	NA
"529793"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	NA	NA	NA
"329490"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	NA	NA	NA
"368218"	"Bacteria"	"Actinobacteria"	"Rubrobacteria"	"Gaiellales"	NA	NA	NA
"254346"	"Bacteria"	"Actinobacteria"	"Rubrobacteria"	"Rubrobacterales"	NA	NA	NA
"1129425"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	NA	NA	NA
"217700"	"Bacteria"	"Armatimonadetes"	"Fimbriimonadia"	"Fimbriimonadales"	NA	NA	NA
"541511"	"Bacteria"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	NA	NA	NA
"570086"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	NA	NA	NA
"353494"	"Bacteria"	"Bacteroidetes"	"Saprospiria"	"Saprospirales"	NA	NA	NA
"4339351"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	NA	NA	NA
"532125"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineales"	NA	NA	NA
"1081222"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	NA	NA	NA
"113004"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	NA	NA	NA
"537655"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	NA	NA	NA
"521158"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	NA	NA	NA
"817349"	"Bacteria"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	NA	NA	NA
"254401"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	NA	NA	NA
"573135"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	NA	NA	NA
"837424"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	NA	NA	NA
"751555"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	NA	NA	NA
"824146"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	NA	NA	NA
"849156"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	NA	NA
"588703"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	NA	NA	NA
"1021984"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	NA	NA	NA
"4308759"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	NA	NA	NA
"225453"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	NA	NA	NA
"646549"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	NA	NA	NA
"539866"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	NA	NA	NA
"339660"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	NA	NA	NA
"554390"	"Bacteria"	"Proteobacteria"	"Oligoflexia"	"Bdellovibrionales"	NA	NA	NA
"226240"	"Bacteria"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	NA	NA	NA
"4318356"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Chthoniobacterales"	NA	NA	NA
"4434837"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	NA	NA	NA
"221791"	"Archaea"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	NA	NA	NA
"852722"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	NA	NA	NA
"4477117"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Methanomassiliicoccales"	NA	NA	NA
"221349"	"Archaea"	"Thaumarchaeota"	NA	"Nitrosopumilales"	NA	NA	NA
"3609950"	"Archaea"	"Thaumarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	NA	NA	NA
"624858"	"Bacteria"	NA	NA	"Haloplasmatales"	NA	NA	NA
"922761"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	NA	NA	NA
"1111883"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	NA	NA	NA
"562922"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Holophagales"	NA	NA	NA
"591340"	"Bacteria"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	NA	NA	NA
"828127"	"Bacteria"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	NA	NA	NA
"545548"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Acidothermales"	NA	NA	NA
"562604"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	NA	NA	NA
"1107346"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinopolysporales"	NA	NA	NA
"591157"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Candidatus_Nanopelagicales"	NA	NA	NA
"585878"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Catenulisporales"	NA	NA	NA
"144633"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	NA	NA	NA
