"otuids"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"217700"	"k__Bacteria"	"p__Armatimonadetes"	NA	NA	NA	NA	NA
"221349"	"k__Bacteria"	"p__Gemmatimonadetes"	NA	NA	NA	NA	NA
"3609950"	"k__Bacteria"	"p__Acidobacteria"	NA	NA	NA	NA	NA
"4339351"	"k__Bacteria"	"p__Bacteroidetes"	NA	NA	NA	NA	NA
"646549"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"585878"	"k__Bacteria"	"p__WS3"	NA	NA	NA	NA	NA
"537655"	"k__Bacteria"	"p__Nitrospirae"	NA	NA	NA	NA	NA
"4469039"	"k__Bacteria"	"p__Planctomycetes"	NA	NA	NA	NA	NA
"112867"	"k__Bacteria"	"p__Chloroflexi"	NA	NA	NA	NA	NA
"1081222"	"k__Bacteria"	"p__Firmicutes"	NA	NA	NA	NA	NA
"357721"	"k__Bacteria"	"p__Elusimicrobia"	NA	NA	NA	NA	NA
"368218"	"k__Bacteria"	"p__Actinobacteria"	NA	NA	NA	NA	NA
"1081489"	"k__Bacteria"	"p__Fibrobacteres"	NA	NA	NA	NA	NA
"226240"	"k__Bacteria"	"p__Verrucomicrobia"	NA	NA	NA	NA	NA
"256569"	"k__Bacteria"	"p__Chlorobi"	NA	NA	NA	NA	NA
"556561"	"k__Archaea"	"p__Crenarchaeota"	NA	NA	NA	NA	NA
