	HP301.W9	CML277.W6.1	CML277.W10	IL14H.W10.1	B73.W6	MO17.W7.1	HP301.W12.1	IL14H.W4	IL14H.W6	B73.W8	IL14H.W11.1	CML277.W5	HP301.W10
4479944	6	22	7	13	22	37	14	25	12	31	4	31	9
513055	892	422	537	294	277	542	511	493	113	340	217	336	217
519510	120	46	42	51	31	56	18	100	27	58	9	37	34
810959	68	58	67	164	25	102	92	56	30	57	19	42	107
849092	68	43	666	499	16	76	48	15	17	62	61	37	216
1042671	216	165	81	311	85	223	125	582	106	278	19	420	23
818174	1230	620	266	806	130	841	237	1209	142	950	66	851	84
585221	39	140	12	6	326	129	46	113	29	219	7	60	47
1033380	20	6	1	20	1	14	9	11	6	12	4	14	11
875704	320	374	95	186	118	310	122	444	92	251	23	331	75
112952	28	37	21	27	24	54	47	41	31	45	14	28	35
760955	81	44	73	9	29	54	8	45	8	34	0	14	9
683649	21	1	10	9	0	4	36	2	1	1	7	0	3
4337833	5	3	18	27	2	7	22	6	0	6	9	4	9
146122	30	22	30	23	21	41	88	45	24	24	19	23	36
590601	3	1	6	10	4	3	4	2	4	0	2	0	1
588630	34	20	11	21	17	31	25	12	5	22	8	7	12
255750	56	68	28	67	42	51	109	103	25	36	42	57	37
541155	46	11	18	24	13	20	58	14	9	5	24	7	20
736463	1	1	3	5	0	5	27	3	0	2	5	1	1
761601	119	104	69	73	186	186	49	203	40	188	22	83	61
529067	47	9	33	21	7	40	9	9	19	34	1	14	4
107036	11	5	19	19	4	13	32	17	8	7	13	5	20
570086	30	53	71	28	121	113	0	25	57	8	10	24	18
1000876	47	15	27	71	3	37	47	27	12	19	4	16	31
1132235	39	13	28	34	10	37	32	23	18	20	10	18	31
740154	9	7	19	29	5	13	25	8	3	1	34	0	28
943138	38	2	137	305	0	0	14	1	0	1	130	0	15
544711	27	35	74	121	16	88	29	40	37	126	17	51	87
4346961	6	7	14	18	9	23	30	11	6	11	20	8	11
912372	3	2	7	10	0	2	10	3	0	0	6	1	2
1019914	4	29	33	84	4	49	23	7	5	93	21	8	41
811187	208	67	81	221	69	163	363	149	59	133	105	77	84
540592	162	51	57	78	40	79	88	79	13	57	38	22	116
939101	290	97	222	279	51	72	141	120	41	69	75	75	115
1038987	538	659	420	215	197	822	330	821	240	367	172	347	283
107428	7	24	4	4	10	56	18	14	5	18	18	2	6
811435	150	147	58	63	162	242	74	223	91	140	48	183	53
775560	138	98	101	113	63	123	109	146	28	73	36	56	68
743788	172	50	89	979	46	221	12	17	43	99	209	14	190
589500	28	6	17	19	4	6	22	18	10	4	14	9	15
578951	53	65	22	53	39	47	18	38	21	65	4	29	21
206278	90	21	36	128	18	63	19	42	15	44	25	15	33
214676	39	33	22	24	14	22	61	49	14	14	30	15	27
244063	104	76	43	64	98	168	70	125	41	121	33	86	49
4402900	19	1	22	23	7	7	19	13	3	10	5	7	14
221791	10	3	26	22	0	7	37	12	3	3	13	2	10
1107738	244	109	104	140	104	194	275	252	60	128	112	131	55
1897510	17	11	18	3	10	21	11	14	14	12	6	1	15
691349	893	303	248	55	100	250	34	139	85	148	16	90	111
735782	31	101	19	9	67	101	15	76	29	47	4	71	18
255838	64	46	60	72	16	32	98	46	15	21	55	31	58
878663	379	312	53	16	105	232	19	145	46	106	1	110	13
215003	15	5	17	6	2	24	15	2	2	9	8	9	11
254007	19	0	8	9	0	1	22	2	0	3	5	0	7
731014	63	30	24	35	21	43	39	34	16	50	22	31	19
1106796	17	52	9	19	1	10	6	37	15	49	1	19	4
552989	74	51	88	101	54	59	218	106	21	51	115	53	74
206609	153	48	82	322	18	85	245	94	11	102	32	43	17
813418	83	99	76	103	46	83	23	147	78	74	9	217	44
828667	3	5	2	0	2	6	5	2	5	4	0	1	3
217700	726	320	467	180	17	187	79	128	68	318	69	67	85
576136	67	57	47	66	71	104	44	106	15	65	74	72	50
534301	281	97	152	99	149	223	138	194	34	157	86	105	86
535892	3	1	1	5	4	8	10	3	2	3	0	2	3
852722	24	14	11	46	28	27	2	19	7	9	5	138	5
807260	47	45	34	31	17	48	51	37	11	24	29	26	15
849156	63	105	111	915	68	187	2146	128	199	300	357	41	589
207403	43	9	31	15	4	28	15	17	4	6	5	9	8
963779	42	181	49	63	184	112	31	43	140	100	39	213	91
540510	43	54	37	37	23	53	93	84	13	18	80	74	31
4297391	22	4	16	81	5	11	121	5	10	5	46	1	21
565604	44	32	158	271	15	125	62	33	13	75	90	25	129
864507	197	168	88	182	64	151	41	480	80	273	4	353	35
547608	17	23	15	6	14	32	30	33	17	6	11	37	13
780555	3	17	1	1	8	5	0	2	1	0	5	2	13
541299	36	83	190	61	36	270	111	22	20	40	239	34	237
1105280	702	9	610	39	3	5	3207	4	26	19	5921	5	918
586388	71	75	108	228	37	125	85	69	65	83	77	63	109
4477117	67	15	18	29	5	23	19	31	19	30	6	26	17
808319	71	62	54	23	21	110	56	75	13	61	13	43	28
3468909	93	49	35	43	25	68	34	99	15	46	35	63	36
221349	39	4	63	86	1	4	365	11	6	2	139	10	46
816291	52	35	25	30	19	52	38	39	26	37	13	45	21
331647	19	2	23	24	3	10	22	4	1	1	32	1	8
4434837	43	4136	89	76	423	65	17	10	9	346	93	142	78
876066	1	1	2	5	1	5	12	5	0	4	8	5	2
976441	111	110	159	102	42	181	85	41	36	20	161	43	161
573135	13	12	23	20	2	10	8	6	4	7	9	12	13
247867	24	7	14	7	3	12	36	9	3	5	9	13	18
1107011	404	74	202	246	57	131	273	161	59	36	294	46	181
959372	90	46	80	73	36	123	141	92	30	44	47	36	51
810882	34	42	19	38	53	30	5	48	42	41	12	16	13
906820	266	189	127	184	178	396	235	324	119	220	91	262	98
1068902	114	103	132	50	22	153	94	49	30	36	17	16	89
854930	52	73	354	77	4	27	718	26	35	25	9	46	164
205244	24	18	9	12	10	16	36	21	10	6	21	12	7
944435	12	18	40	121	9	22	71	25	9	20	71	6	28
822806	188	246	80	111	16	135	50	86	59	278	103	94	44
17991	266	379	88	191	264	378	16	316	549	1008	0	667	101
250148	47	13	2697	105	3	24	39	19	21	30	234	21	115
878714	14	10	1	18	2	17	17	15	1	6	3	10	7
562332	25	11	19	16	9	12	29	6	4	4	19	12	20
3609950	28	18	21	21	15	28	17	33	6	28	12	8	24
4339351	6	14	2	1	3	6	3	8	4	3	0	2	3
664216	42	12	39	35	8	11	136	32	16	7	40	11	27
1028953	77	137	22	252	23	156	13	120	19	200	2	303	25
1053775	3342	1346	2849	2123	781	1895	269	1011	1198	1398	379	1109	628
4320381	20	18	35	14	7	30	21	20	8	22	8	7	6
968121	3	9	4	12	1	12	35	3	1	1	2	1	13
1105814	44	12	45	37	10	19	26	22	8	19	14	8	25
987899	7	9	10	9	12	28	9	7	6	15	2	12	13
535678	23	4	20	17	5	16	20	2	5	18	17	8	28
1118109	12	0	29	24	1	12	16	7	1	7	13	1	13
946179	26	16	21	24	14	50	22	26	20	18	9	16	13
313833	334	115	705	167	30	165	220	65	24	148	243	18	196
358590	127	68	50	32	82	129	41	124	32	99	31	94	30
249571	318	141	51	14	35	114	12	113	135	120	13	37	58
1106748	52	26	27	22	14	31	65	36	3	33	18	12	56
4476891	112	40	13	78	31	124	47	200	23	70	5	82	43
541511	169	107	41	41	36	109	9	69	43	56	7	27	25
1106324	232	1433	764	1720	159	426	72	165	667	212	1320	123	819
150877	14	4	13	4	4	19	29	18	3	5	7	6	11
1115404	133	316	34	281	37	256	143	396	21	440	6	249	25
811449	91	176	425	152	92	172	237	86	82	170	583	113	586
350446	41	28	39	18	24	41	17	29	13	28	29	19	37
788268	78	62	55	128	26	96	64	91	37	96	43	37	60
1110303	1717	640	1079	862	231	614	865	561	171	584	576	249	424
591683	57	36	27	11	13	38	17	31	11	26	16	37	10
254949	128	24	83	164	35	121	112	142	17	57	5	144	16
216748	9	3	5	11	3	14	18	4	7	6	2	2	10
222900	140	99	33	55	19	73	27	170	28	58	11	33	52
984175	3	4	4	18	2	3	19	3	2	14	4	3	5
610753	744	159	718	834	86	361	427	150	180	172	372	119	548
672471	48	24	22	33	24	41	31	49	17	28	11	29	10
893232	13	3	5	11	6	14	15	11	5	12	3	8	6
